,id,article,label
20,539,"article 10. - l'agence d'aix-en-provence (aga) : assure le relais des départements du centre, dans les secteurs d'intervention propres de ces derniers, pour lapartie sud-est du territoire national, ainsi que pour les départements et territoires d'outre-mer ;assure le développement des techniques liées aux sources d'énergie renouvelables ;peut être chargée de missions particulières temporaires.",Not Zone
21,2391,"article 86 : transport des matières dangereuses par voie ferrée les matières dangereuses amenées par voie ferrée ou par route doivent être déclarées par écrit au commandant du port par l'expéditeur ou son mandataire au moins quarantehuit heures avant leur arrivée.la déclaration doit contenir toutes informations qui permettent de déterminer exactement et sans aucune ambiguïté la nature, la quantité et le conditionnement desmarchandises, ainsi que les opérations à effectuer.le commandant du port a le pouvoir d'interdire l'entrée de ces marchandises dans l'enceinte portuaire sur avis motivé.seuls les camions ou wagons appropriés peuvent transporter par voie terrestre des marchandises et doivent obligatoirement dans ce cas arborer les signes appropriés.",Not Zone
22,12283,"article 7 : le coordonnateur, chef de projet est chargé, notamment, de :- concevoir les documents du projet, à savoir :les termes de référence, le devis estimatif dé-taillé et le cahier des charges :- planifier les différentes tâches qui concourentà la mise en oeuvre du projet ;- évaluer les besoins et mettre en oeuvre unestratégie d’action :- déterminer les fonctions de chacun des mem-bres de l'équipe du projet ;- organiser les actions sur le terrain et dirigerles équipes à l'oeuvre :- assurer la supervision de toutes les activitésdu projet ;- suivre, contrôler et évaluer toutes les opéra-tions liées au projet ;- coordonner le processus de mise en œuvre duprojet :- veiller à la motivation des membres de l'équipedu projet en garantissant à chacun une ré-munération appropriée et raisonnable, ainsique des conditions de travail satisfaisantes :- ordonner l'exécution financière des fonds misà la disposition du projet ;- suivre l'exécution physique et financière duprojet :- communiquer suffisamment sur la mise enœuvre du projet ;- produire les rapports à mi-parcours et final duprojetartie officielle - loi -loi n° 24-2019 du 12 juillet 2019 portantcréation du port autonome d’oyol assemblée nationale et le sénatont délibéré et adopté :le président de la république promulgue la loidont la teneur suit :",Not Zone
23,10,"article 13. - la demande d'agrément doit être formulée par le postulant et déposée par son organismeemployeur auprès du ministre chargé de la marine marchande accompagnée des documents suivants :- un extrait d'acte de naissance ;- un extrait du casier judiciaire (bulletin n° 3), daté de moins de trois (3) mois ;- une copie conforme du brevet de capitaine ou du titre équivalent ;- une attestation de travail justifiant de l'expérience professionnelle d'au moins cinq (5) années enqualité de capitaine ou de second capitaine à bord des navires pratiquant la navigation restreinte ousans restriction ou de dix (10) années de commandement de navires des forces navales d'unelongueur égale ou supérieure à soixante (60) mètres ;- une attestation de suivi avec succès du stage prévu à l'article 11 du présent décret ;- une attestation médicale délivrée par les centres agréés prouvant que le postulant satisfait àl'aptitude physique.",Not Zone
24,471,"article l. 5334-6-2. — les renseignements dont la communication est exigée avant l'entrée du navire dans le port et à sa sortie du port au titre de l’accomplissement des formalités déclaratives mentionnées àl’article l. 5334-6-1 sont fournis par le capitaine du navire, ou, à défaut, l’armateur ou le consignataire, sousforme électronique, au guichet unique dont les coordonnées sont fixées par arrêté du ministre chargé destransports. dès la réception des données, le gestionnaire du guichet unique met, dans le respect du règlement (ce)n° 562/2006 du parlement européen et du conseil du 15 mars 2006 établissant un code communautaire relatifau régime de franchissement des frontières par les personnes (code frontières schengen), les informationsnécessaires à la disposition des autorités publiques qui en sont destinataires en vertu des textes applicables.les informations, sauf en ce qui concerne celles obtenues en vertu des règlements (cee) n° 2913/92,(cee) n° 2454/93, (ce) n° 562/2006 et (ce) n° 450/2008, sont communiquées, sur leur demande, aux autresautorités nationales habilitées à en connaître, dans le système d’information national sur le trafic maritime.elles sont mises à la disposition des autres autorités portuaires mentionnées à l’article l. 5331-5 et des autresetats membres de l’union européenne, dans le même système.les modalités selon lesquelles les formalités déclaratives sont effectuées et les données correspondantestransmises au guichet unique sont définies par arrêté du ministre chargé des transports.",Not Zone
25,11446,"article 14 obligation de prendre à bord des équipements de sécurité le domaine transports peut contraindre les propriétaires de navires qui ont obtenuun cautionnement de prêt, à prendre à bord des équipements de sécurité fournis parla confédération pour le navire et le personnel.",Not Zone
26,615,"article r. 333-5-1. - sans préjudice des dispositions de l'article l. 331-15-7, un même espace ne peut être inclus simultanément : 1° dans les périmètres d'étude de deux parcs naturels régionaux ; 2° dans le périmètre d'étude d'un parc naturel régional et dans le territoire d'une commune qui a vocation à appartenir au coeur d'un parenational ou pour lequel cette commune a, ou conserve, vocation a adhérer à la charte.",Not Zone
27,13744,"article 73 les concessions d'établissement ou d'exploitation d'infrastructures ou de superstructures portuaires nepeuvent être consenties pour une durée supérieure à cinquante (50) ans.les autres concessions, conventions et autorisations d'occupation de toute nature du domaine publicprévues par le présent titre ne peuvent être consenties pour une durée supérieure à trente cinq (35) ans.",Not Zone
28,2838,"article 14: la direction du système d'informations , structure rattachée au secrétariat général, est chargée d'améliorer la gestion globale des informations par la mise en place et l'administration de système moderne et efficace, le renforcement etl'appui aux gestionnaires d'informations.pour cela, elle assure :- la formulation des stratégies des technologies de l'information et de la communication (tic) à appliquer au seindu ministère de l'environnement, de l'ecologie et des forêts ;- l'assistance technique générale, soutenue et effective dans le cadre de la réalisation de ses objectifs ;- l'interconnexion des services et le déploiement de l'e-gouvernance ;- la gestion du patrimoine informationnel ;- [optimisation de l'organisation dans son rôle de maître d'ouvrage pour les chantiers et projets de déploiement etde développement d'un système intégré ;- le suivi et la supervision de tous les projets intégrant un système d'informations ;- la formation et la sensibilisation du personnel sur l’usage du tic ;- la mise en place d’une politique de maintenance et de sécurisation des systèmes informatiquesla collecte et la constitution d'une base de données, le traitement et la diffusion des informations. elle est placée sous l'autorité du directeur du système d'informationelle dispose de:- un service de la maintenance informatique et réseaux (smir);e un service du développement (sd);e un service de l'exploitation et de la formation (sef);e un service d'informations et de communication (sic).",Not Zone
29,14100,"article 2. - il ne peut être accordé aucune occupation du domaine public des ports de pêche qu'à titre précaire etrévocable et après autorisation de l'autorité portuaire selonles procédures prévues aux articles 5 et 6 du présent décret.l'autorisation susvisée détermine la durée de l'occupation ridha grira temporaire qui ne doit, en aucun cas, dépasser 5 ansvu prorogeables toutes les fois pour une durée d'une année.le premier ministre elle détermine également la nature des travaux à réalisermohamed ghannouchi sur l'immeuble objet de l'autorisation qui ne doivent pasn° 76 journal officiel de la république tunisienne — 23 septembre 2003 page 2829 comporter la réalisation des constructions, d'ouvrages oud'équipements fixes.l'occupant peut, avant l'expiration de la durée del'occupation temporaire, présenter une demande àl'administration portuaire afin de proroger la durée del'occupation.",Not Zone
30,633,"article 21. - la première phrase du i de l’article r. 414-13 est remplacée par les dispositions suivantes : le contrat natura 2000 est conclu pour une durée de cinq ans entre le préfet et, selon le cas, soit letitulaire de droits réels ou personnels portant sur des parcelles incluses dans le site, soit le professionnel oul'utilisateur des espaces marins situés dans le site. le préfet signataire du contrat est, selon la nature desengagements, le préfet de département, le préfet de région ou le préfet maritime.",Not Zone
31,10021,"article l. 331-18. - |. - sont recherchées et constatées par les agents de l'établissement public du parc national, commissionnés à cet effet par l'autorité administrative et assermentés : 1° les infractions aux dispositions prévues pour la protection du coeur et des réserves intégrales des parcsnationaux ; 2° les infractions commises, dans les parcs nationaux et sur le territoire des communes ayant vocation à enfaire partie, délimité par le décret de création du parc national, en matière de protection de la faune et de la flore,de réserves naturelles, de sites, de forêts, de chasse, de pêche en eau douce, de bruit, d'air, de déchets, d'eau,de publicité, de circulation des véhicules dans les espaces naturels et d'accès et de respect des espaces gérés par le conservatoire de l'espace littoral et des rivages lacustres, prévues par le présent code, le code forestier etle code pénal ; 3° les infractions commises dans le coeur des parcs nationaux en matière de fouilles et sondages et deprotection des immeubles, prévues aux articles l. 544-1 à l. 544-4 et l. 624-1 à l. 624-6 du code du patrimoine. 11. - ces agents suivent les choses enlevées dans les lieux où elles ont été transportées et les mettent sousséquestre. iis ne peuvent cependant pénétrer dans les maisons, ateliers, bâtiments, cours adjacentes et enclos qu'enprésence d'un officier de police judiciaire qui ne peut refuser de les accompagner et qui signe le procès-verbal del'opération à laquelle il a assisté.",Not Zone
32,8991,"article premier, — lorsque un navire an rada; dans jes eaux tarri- toriales ou à quai, présente un danger soit pour la sécurité ou là salu-brité publique; solt pour la pollution dé la mar et de l'environnement,‎président de: la république, sur proposition. des. autorités por‏ ها‎tuaires-ou maritimes, ot après mise em demaura adresséa à l'arma-teur ou à son représentant at au propdétalre da la cargaison, ‘ou àson représentant, peut par arrété: ordonner la: mise en vente: dunavire et de la cargaison,‎at 2 — au cas où lun des propriétaires de la’ cargaisondemeurg inconnu, la mise en demeure faite à l'armateur ou à sonraprésantant vaudra aussi pour les marchandises considérées:‎la miss'on derneure peut la faila par tout moyen et notammentpar ‏ماف‎ quinze jours au moins avant la data de l'arrêté visé à l'arti-a 1.| al j.-l vente est laita à l'audience des cides dala chambrecivile, après publicilé sans délai dans le journal. “la. nalion”, sauf.péri imminent 4 la dillgence des autorités portuaires ou maritimes.",Not Zone
33,9363,"article 13. — lorsque l'exercice des opérations liées àl’une des activités portuaires sus-indiquées présente unrisque grave pour la sécurité et/ou la sûreté des navires,des personnes, des installations portuaires et desmarchandises, il peut faire l’objet d’une suspensionimmédiate et ce jusqu’à la disparition dudit risque.une copie de la décision de suspension immédiate esttransmise au ministre chargé des ports.",Not Zone
34,16731,"article 9 un pesticide ne peut être homologué que lorsque la formulation présente les caractéristiquessuivantes :i. s’il est établi, après examen du dossier d’homologation prévu en annexe il et lors d’un usageconforme aux dispositions de l’arricle 10 et eu égard à toutes les conditions normales dans lesquellesil peut être utilisé et aux conséquences de son utilisation :- qu'il est suffisamment efficace vis-à-vis de l‘organisme nuisible visé ;- qu'il n’est pas phytotoxique dans les conditions normales d’utilisation dans les etats7 membres ;- qu’il n’est pas nocif pour ’homme et la faune non cible dans les conditions normalesd@’ utilisation dans les etats membres ;- qu’il n’a pas d’effets néfastes sur l’environnement dans les etats membres.ii. si les résultats des essais, provenant de tous états membres montrent que le produit a une efficacitébiologique acceptable.ii. si les composants, les impuretés et les tésidus du pesticide peuvent être déterminés par desméthodes d’essais et d’analyse officiellement reconnues.iv. si, pour des produits agricoles visés par l’homologation et destinés à la consommation humaine,des limites maximales de résidus ont été déterminées par les états membres ou d’autres autoritésnationales ou internationales compétentes.",Not Zone
35,1030,"article 18 : la pêche de loisir à l'intérieur de la réserve naturelle marine est interdite de nuit, elle est autorisée de jourdans le respect des conditions générales fixées par le présent arrêté, notamment ses arlicles 5 à 8 et 17la pêche se pratique à pied ou en apnée. en dehors des lagons, elle peut s'exercer à partir d'uneembarcation dont la longueur hors tout est inférieure à 20 mètres.",Not Zone
36,19576,"article 8: sont formellement interdites à l’intérieur du parc toutes activités industrielles, commerciales, artisanales, toutes activités professionnelles notamment le cinéma, la télévision, la radio ainsi que tous travaux publics ouprivés, notamment les travaux marins ou sous - marins susceptibles de modifier les fonds, les bords et lesaspects naturels de l'archipel.toutefois, les travaux publics à caractère scientifique peuvent être autorisés par dérogation accordée parl'autorité compétente.des autorisations temporaires ou permanentes peuvent être accordées par l’autorité compétente en faveurd'activités industrielles, notamment celles de l’hôtellerie et du tourisme, quand ces projets sont utiles etconformes au programme d'aménagement du parc.",Not Zone
37,3342,"article 33 : 1 - en service à la mer, la veille et laconduite du navire sont organisées à troisbordées de navigation au moins.2 - toutefois, sur les cargos armés au longcours et au cabotage interafricain, ellespeuvent être organisées à deux bordéesjusqu'à ce qu'intervienne une conventioninternationale relative à la réglementationdu service à la mer.3 - la conduite et l’entretien des machinessont organisés à trois quarts.4 - sur les cargos armés au cabotagenational ou a la navigation côtière, leservice peut étre réduit 4 deux bordées etdeux quarts.4.1- si le séjours à la mer sontinférieurs à 24 heures, ou journal officiel de la republique islamique de mauritanie 30 janvier 2000 967 4.2 - si la jauge brute est inférieure àsoojb.5 - le service à la machine peut êtreorganisé à raison d’un seul quart à bord desnavires d’une jauge brute inférieure à500jb s'ils sont munis d’un dispositif decommande directe et de contrôle du moteurà partir de la passerelle.dans ce cas, le quart unique est assuré parun officier mécanicien assisté d’unnettoyeur.6 - a bord des navires de toutes catégories,le service peut être organisé à raison d’unebordée et d’un quart à condition de seconformer pour chaque période de 24heures aux trois conditions suivantes :6.1 - la durée totale de travail effectif nedépasse pas huit heures6.2 - le service ne comporte pas plusde :- six heures de travail consécutif pour laveille et la conduite du navire- cinq heures de travail consécutif pour laconduite et l’entretien de la machine.6.3 - le personnel bénéficie d’un reposininterrompu de huit heures aumoins.7 - à bord des remorqueurs portuaires, laveille, la conduite et l’entretien du navireet des machines sont organisés à deuxbordées et deux quarts qui peuvent êtresimultanément et successivement à bord.le service peut être organisé à une bordéeet un quart lorsqu'il est satisfait auxconditions du paragraphe 6 ci - dessus.",Not Zone
